bichoice,range,home_chg,work_chg,town,highway,gender,state,Region,education,employment,hsincome,hsize,housit,residence,all_cars,ev_cars,home_parking,home_evse,work_parking,work_evse,buycar,zipcode,dmileage,long_dist,Age_category,RUCA
0,1,3,1,3,2,0,Massachusetts,1,4,4,1,3,1,1,2,0,3,2,5,2,3,1247,20,2,3,2
0,4,3,3,4,2,0,Massachusetts,1,4,4,1,3,1,1,2,0,3,2,5,2,3,1247,20,2,3,2
0,2,5,0,2,4,0,Massachusetts,1,4,4,1,3,1,1,2,0,3,2,5,2,3,1247,20,2,3,2
0,4,5,0,1,1,0,Massachusetts,1,4,4,1,3,1,1,2,0,3,2,5,2,3,1247,20,2,3,2
0,1,5,0,1,2,0,Massachusetts,1,4,4,1,3,1,1,2,0,3,2,5,2,3,1247,20,2,3,2
0,3,20,10,2,4,0,Massachusetts,1,4,4,1,3,1,1,2,0,3,2,5,2,3,1247,20,2,3,2
1,3,1,1,3,2,0,Massachusetts,1,4,1,2,3,1,1,1,0,3,2,2,2,2,1420,40,4,2,1
0,1,3,3,4,2,0,Massachusetts,1,4,1,2,3,1,1,1,0,3,2,2,2,2,1420,40,4,2,1
0,1,3,5,4,1,0,Massachusetts,1,4,1,2,3,1,1,1,0,3,2,2,2,2,1420,40,4,2,1
0,2,5,20,3,4,0,Massachusetts,1,4,1,2,3,1,1,1,0,3,2,2,2,2,1420,40,4,2,1
1,4,2,0,4,3,0,Massachusetts,1,4,1,2,3,1,1,1,0,3,2,2,2,2,1420,40,4,2,1
0,1,0,0,2,1,0,Massachusetts,1,4,1,2,3,1,1,1,0,3,2,2,2,2,1420,40,4,2,1
1,4,5,1,2,2,1,Massachusetts,1,3,1,2,5,2,3,1,0,5,2,2,3,3,1420,15,2,2,1
1,4,0,20,1,3,1,Massachusetts,1,3,1,2,5,2,3,1,0,5,2,2,3,3,1420,15,2,2,1
0,2,1,0,4,4,1,Massachusetts,1,3,1,2,5,2,3,1,0,5,2,2,3,3,1420,15,2,2,1
1,3,10,0,3,4,1,Massachusetts,1,3,1,2,5,2,3,1,0,5,2,2,3,3,1420,15,2,2,1
0,4,20,2,2,1,1,Massachusetts,1,3,1,2,5,2,3,1,0,5,2,2,3,3,1420,15,2,2,1
1,2,0,3,2,1,1,Massachusetts,1,3,1,2,5,2,3,1,0,5,2,2,3,3,1420,15,2,2,1
1,2,1,3,3,4,1,Massachusetts,1,3,1,1,1,2,2,1,0,3,3,1,3,1,1440,30,2,1,1
1,1,0,20,4,4,1,Massachusetts,1,3,1,1,1,2,2,1,0,3,3,1,3,1,1440,30,2,1,1
1,1,5,20,3,2,1,Massachusetts,1,3,1,1,1,2,2,1,0,3,3,1,3,1,1440,30,2,1,1
1,1,3,10,1,1,1,Massachusetts,1,3,1,1,1,2,2,1,0,3,3,1,3,1,1440,30,2,1,1
1,4,2,3,3,3,1,Massachusetts,1,3,1,1,1,2,2,1,0,3,3,1,3,1,1440,30,2,1,1
1,2,5,3,2,3,1,Massachusetts,1,3,1,1,1,2,2,1,0,3,3,1,3,1,1440,30,2,1,1
1,3,10,1,1,1,0,Massachusetts,1,3,1,3,3,1,1,2,0,6,2,2,3,1,1507,35,1,1,1
0,2,10,10,2,3,0,Massachusetts,1,3,1,3,3,1,1,2,0,6,2,2,3,1,1507,35,1,1,1
1,3,10,0,3,3,0,Massachusetts,1,3,1,3,3,1,1,2,0,6,2,2,3,1,1507,35,1,1,1
1,4,10,2,1,4,0,Massachusetts,1,3,1,3,3,1,1,2,0,6,2,2,3,1,1507,35,1,1,1
1,2,1,20,3,2,0,Massachusetts,1,3,1,3,3,1,1,2,0,6,2,2,3,1,1507,35,1,1,1
1,4,5,1,2,2,0,Massachusetts,1,3,1,3,3,1,1,2,0,6,2,2,3,1,1507,35,1,1,1
1,4,5,5,3,4,0,Massachusetts,1,2,1,3,3,1,1,2,0,3,2,2,2,1,1520,25,3,3,1
1,1,5,5,1,3,0,Massachusetts,1,2,1,3,3,1,1,2,0,3,2,2,2,1,1520,25,3,3,1
1,4,20,0,4,1,0,Massachusetts,1,2,1,3,3,1,1,2,0,3,2,2,2,1,1520,25,3,3,1
1,4,1,0,1,1,0,Massachusetts,1,2,1,3,3,1,1,2,0,3,2,2,2,1,1520,25,3,3,1
1,3,5,10,1,3,0,Massachusetts,1,2,1,3,3,1,1,2,0,3,2,2,2,1,1520,25,3,3,1
1,3,3,2,3,3,0,Massachusetts,1,2,1,3,3,1,1,2,0,3,2,2,2,1,1520,25,3,3,1
1,1,20,5,2,2,0,Massachusetts,1,2,2,3,5,1,1,1,0,6,2,2,2,1,1605,50,2,1,1
1,1,10,1,2,3,0,Massachusetts,1,2,2,3,5,1,1,1,0,6,2,2,2,1,1605,50,2,1,1
0,4,20,0,4,1,0,Massachusetts,1,2,2,3,5,1,1,1,0,6,2,2,2,1,1605,50,2,1,1
0,1,20,20,3,3,0,Massachusetts,1,2,2,3,5,1,1,1,0,6,2,2,2,1,1605,50,2,1,1
1,4,1,20,1,4,0,Massachusetts,1,2,2,3,5,1,1,1,0,6,2,2,2,1,1605,50,2,1,1
0,4,1,10,4,1,0,Massachusetts,1,2,2,3,5,1,1,1,0,6,2,2,2,1,1605,50,2,1,1
1,1,5,20,3,2,1,Massachusetts,1,3,1,3,2,1,1,2,0,5,2,2,2,1,1606,15,2,1,1
1,2,20,0,1,4,1,Massachusetts,1,3,1,3,2,1,1,2,0,5,2,2,2,1,1606,15,2,1,1
1,3,1,5,3,4,1,Massachusetts,1,3,1,3,2,1,1,2,0,5,2,2,2,1,1606,15,2,1,1
1,1,3,1,3,2,1,Massachusetts,1,3,1,3,2,1,1,2,0,5,2,2,2,1,1606,15,2,1,1
1,4,10,10,4,1,1,Massachusetts,1,3,1,3,2,1,1,2,0,5,2,2,2,1,1606,15,2,1,1
1,2,5,2,3,3,1,Massachusetts,1,3,1,3,2,1,1,2,0,5,2,2,2,1,1606,15,2,1,1
0,2,5,2,3,3,1,Massachusetts,1,3,1,1,1,2,5,1,0,4,2,3,3,1,1850,5,1,3,1
0,1,0,20,4,4,1,Massachusetts,1,3,1,1,1,2,5,1,0,4,2,3,3,1,1850,5,1,3,1
0,2,5,3,2,3,1,Massachusetts,1,3,1,1,1,2,5,1,0,4,2,3,3,1,1850,5,1,3,1
0,2,0,2,3,3,1,Massachusetts,1,3,1,1,1,2,5,1,0,4,2,3,3,1,1850,5,1,3,1
0,2,10,5,2,2,1,Massachusetts,1,3,1,1,1,2,5,1,0,4,2,3,3,1,1850,5,1,3,1
0,4,5,0,1,1,1,Massachusetts,1,3,1,1,1,2,5,1,0,4,2,3,3,1,1850,5,1,3,1
0,2,10,5,2,2,1,Massachusetts,1,3,1,1,3,2,5,2,0,6,2,2,3,3,1854,30,2,1,1
0,2,2,0,1,2,1,Massachusetts,1,3,1,1,3,2,5,2,0,6,2,2,3,3,1854,30,2,1,1
0,1,5,20,4,1,1,Massachusetts,1,3,1,1,3,2,5,2,0,6,2,2,3,3,1854,30,2,1,1
0,2,1,3,3,4,1,Massachusetts,1,3,1,1,3,2,5,2,0,6,2,2,3,3,1854,30,2,1,1
0,3,3,2,2,3,1,Massachusetts,1,3,1,1,3,2,5,2,0,6,2,2,3,3,1854,30,2,1,1
0,2,5,0,2,4,1,Massachusetts,1,3,1,1,3,2,5,2,0,6,2,2,3,3,1854,30,2,1,1
0,1,1,1,1,1,0,Massachusetts,1,3,2,2,4,1,1,2,0,3,2,5,2,1,2053,20,2,3,1
1,3,20,0,1,3,0,Massachusetts,1,3,2,2,4,1,1,2,0,3,2,5,2,1,2053,20,2,3,1
0,1,3,10,3,1,0,Massachusetts,1,3,2,2,4,1,1,2,0,3,2,5,2,1,2053,20,2,3,1
0,1,10,1,2,3,0,Massachusetts,1,3,2,2,4,1,1,2,0,3,2,5,2,1,2053,20,2,3,1
0,1,0,5,1,3,0,Massachusetts,1,3,2,2,4,1,1,2,0,3,2,5,2,1,2053,20,2,3,1
0,3,1,20,4,4,0,Massachusetts,1,3,2,2,4,1,1,2,0,3,2,5,2,1,2053,20,2,3,1
1,2,0,10,3,2,1,Massachusetts,1,3,1,5,3,1,1,2,0,6,2,3,3,3,2054,40,3,1,1
0,2,2,1,1,4,1,Massachusetts,1,3,1,5,3,1,1,2,0,6,2,3,3,3,2054,40,3,1,1
1,3,10,0,3,3,1,Massachusetts,1,3,1,5,3,1,1,2,0,6,2,3,3,3,2054,40,3,1,1
1,4,2,5,2,2,1,Massachusetts,1,3,1,5,3,1,1,2,0,6,2,3,3,3,2054,40,3,1,1
1,1,2,0,2,3,1,Massachusetts,1,3,1,5,3,1,1,2,0,6,2,3,3,3,2054,40,3,1,1
1,4,1,0,1,1,1,Massachusetts,1,3,1,5,3,1,1,2,0,6,2,3,3,3,2054,40,3,1,1
1,2,10,20,2,4,1,Massachusetts,1,4,1,2,2,1,5,1,0,2,2,1,1,1,2129,50,2,1,1
1,2,20,5,4,2,1,Massachusetts,1,4,1,2,2,1,5,1,0,2,2,1,1,1,2129,50,2,1,1
1,3,10,5,4,3,1,Massachusetts,1,4,1,2,2,1,5,1,0,2,2,1,1,1,2129,50,2,1,1
1,4,5,5,2,2,1,Massachusetts,1,4,1,2,2,1,5,1,0,2,2,1,1,1,2129,50,2,1,1
1,1,0,5,4,4,1,Massachusetts,1,4,1,2,2,1,5,1,0,2,2,1,1,1,2129,50,2,1,1
1,2,20,3,1,1,1,Massachusetts,1,4,1,2,2,1,5,1,0,2,2,1,1,1,2129,50,2,1,1
1,2,5,1,1,1,0,Massachusetts,1,3,1,3,3,1,1,1,0,6,2,2,2,1,2134,50,3,1,1
1,3,1,0,3,3,0,Massachusetts,1,3,1,3,3,1,1,1,0,6,2,2,2,1,2134,50,3,1,1
0,4,5,3,2,4,0,Massachusetts,1,3,1,3,3,1,1,1,0,6,2,2,2,1,2134,50,3,1,1
0,1,20,3,4,1,0,Massachusetts,1,3,1,3,3,1,1,1,0,6,2,2,2,1,2134,50,3,1,1
0,4,10,20,1,4,0,Massachusetts,1,3,1,3,3,1,1,1,0,6,2,2,2,1,2134,50,3,1,1
0,2,20,5,4,2,0,Massachusetts,1,3,1,3,3,1,1,1,0,6,2,2,2,1,2134,50,3,1,1
0,2,3,10,3,3,1,Massachusetts,1,4,1,2,1,1,1,1,0,6,2,2,1,1,2148,15,2,3,1
1,2,1,5,3,1,1,Massachusetts,1,4,1,2,1,1,1,1,0,6,2,2,1,1,2148,15,2,3,1
0,4,2,5,3,1,1,Massachusetts,1,4,1,2,1,1,1,1,0,6,2,2,1,1,2148,15,2,3,1
1,1,0,5,4,4,1,Massachusetts,1,4,1,2,1,1,1,1,0,6,2,2,1,1,2148,15,2,3,1
0,3,2,1,4,3,1,Massachusetts,1,4,1,2,1,1,1,1,0,6,2,2,1,1,2148,15,2,3,1
0,4,1,5,1,2,1,Massachusetts,1,4,1,2,1,1,1,1,0,6,2,2,1,1,2148,15,2,3,1
1,4,2,10,2,4,1,Massachusetts,1,3,1,2,1,1,1,1,0,1,2,3,2,2,2170,25,1,1,1
0,2,20,0,1,4,1,Massachusetts,1,3,1,2,1,1,1,1,0,1,2,3,2,2,2170,25,1,1,1
0,2,1,10,2,1,1,Massachusetts,1,3,1,2,1,1,1,1,0,1,2,3,2,2,2170,25,1,1,1
1,3,1,3,2,3,1,Massachusetts,1,3,1,2,1,1,1,1,0,1,2,3,2,2,2170,25,1,1,1
1,3,2,20,3,1,1,Massachusetts,1,3,1,2,1,1,1,1,0,1,2,3,2,2,2170,25,1,1,1
0,1,1,0,2,3,1,Massachusetts,1,3,1,2,1,1,1,1,0,1,2,3,2,2,2170,25,1,1,1
1,3,0,10,4,3,1,Massachusetts,1,4,1,2,4,1,1,2,0,3,2,5,3,2,2176,20,1,3,1
1,4,2,2,1,3,1,Massachusetts,1,4,1,2,4,1,1,2,0,3,2,5,3,2,2176,20,1,3,1
1,1,1,2,2,1,1,Massachusetts,1,4,1,2,4,1,1,2,0,3,2,5,3,2,2176,20,1,3,1
1,3,0,1,1,2,1,Massachusetts,1,4,1,2,4,1,1,2,0,3,2,5,3,2,2176,20,1,3,1
1,3,5,2,4,1,1,Massachusetts,1,4,1,2,4,1,1,2,0,3,2,5,3,2,2176,20,1,3,1
1,3,2,10,3,4,1,Massachusetts,1,4,1,2,4,1,1,2,0,3,2,5,3,2,2176,20,1,3,1
0,4,0,10,1,3,0,Massachusetts,1,3,1,2,4,1,1,2,0,3,2,5,3,3,2346,10,1,3,1
0,4,1,0,1,1,0,Massachusetts,1,3,1,2,4,1,1,2,0,3,2,5,3,3,2346,10,1,3,1
0,1,0,20,2,2,0,Massachusetts,1,3,1,2,4,1,1,2,0,3,2,5,3,3,2346,10,1,3,1
0,4,20,1,4,3,0,Massachusetts,1,3,1,2,4,1,1,2,0,3,2,5,3,3,2346,10,1,3,1
0,3,10,20,2,2,0,Massachusetts,1,3,1,2,4,1,1,2,0,3,2,5,3,3,2346,10,1,3,1
0,4,20,3,4,4,0,Massachusetts,1,3,1,2,4,1,1,2,0,3,2,5,3,3,2346,10,1,3,1
1,2,20,5,4,2,1,Massachusetts,1,3,1,3,4,1,1,2,0,3,2,2,2,1,2382,20,0,1,1
1,1,5,20,3,2,1,Massachusetts,1,3,1,3,4,1,1,2,0,3,2,2,2,1,2382,20,0,1,1
1,4,3,20,1,4,1,Massachusetts,1,3,1,3,4,1,1,2,0,3,2,2,2,1,2382,20,0,1,1
1,1,1,5,1,3,1,Massachusetts,1,3,1,3,4,1,1,2,0,3,2,2,2,1,2382,20,0,1,1
1,2,5,1,1,1,1,Massachusetts,1,3,1,3,4,1,1,2,0,3,2,2,2,1,2382,20,0,1,1
1,1,3,2,1,4,1,Massachusetts,1,3,1,3,4,1,1,2,0,3,2,2,2,1,2382,20,0,1,1
1,3,20,0,1,3,1,Massachusetts,1,3,1,2,1,2,5,1,0,4,2,2,3,2,2382,15,3,1,1
0,4,20,3,4,4,1,Massachusetts,1,3,1,2,1,2,5,1,0,4,2,2,3,2,2382,15,3,1,1
0,4,2,2,4,1,1,Massachusetts,1,3,1,2,1,2,5,1,0,4,2,2,3,2,2382,15,3,1,1
1,1,10,1,2,3,1,Massachusetts,1,3,1,2,1,2,5,1,0,4,2,2,3,2,2382,15,3,1,1
0,3,5,20,4,1,1,Massachusetts,1,3,1,2,1,2,5,1,0,4,2,2,3,2,2382,15,3,1,1
0,2,20,5,1,3,1,Massachusetts,1,3,1,2,1,2,5,1,0,4,2,2,3,2,2382,15,3,1,1
1,2,10,5,3,4,0,Massachusetts,1,4,4,2,2,2,5,1,0,4,2,5,3,1,2453,5,1,1,1
0,1,20,3,1,3,0,Massachusetts,1,4,4,2,2,2,5,1,0,4,2,5,3,1,2453,5,1,1,1
1,4,1,10,4,1,0,Massachusetts,1,4,4,2,2,2,5,1,0,4,2,5,3,1,2453,5,1,1,1
1,3,1,1,3,2,0,Massachusetts,1,4,4,2,2,2,5,1,0,4,2,5,3,1,2453,5,1,1,1
1,4,3,0,4,4,0,Massachusetts,1,4,4,2,2,2,5,1,0,4,2,5,3,1,2453,5,1,1,1
0,2,10,20,4,1,0,Massachusetts,1,4,4,2,2,2,5,1,0,4,2,5,3,1,2453,5,1,1,1
0,1,2,3,1,1,0,Massachusetts,1,1,1,1,1,2,3,1,0,5,2,2,2,3,2721,50,1,1,1
0,2,2,2,1,2,0,Massachusetts,1,1,1,1,1,2,3,1,0,5,2,2,2,3,2721,50,1,1,1
0,3,10,5,4,4,0,Massachusetts,1,1,1,1,1,2,3,1,0,5,2,2,2,3,2721,50,1,1,1
0,4,20,10,3,1,0,Massachusetts,1,1,1,1,1,2,3,1,0,5,2,2,2,3,2721,50,1,1,1
0,3,1,20,4,4,0,Massachusetts,1,1,1,1,1,2,3,1,0,5,2,2,2,3,2721,50,1,1,1
0,4,5,10,3,2,0,Massachusetts,1,1,1,1,1,2,3,1,0,5,2,2,2,3,2721,50,1,1,1
0,3,2,5,3,2,1,Rhode Island,1,3,1,1,1,2,1,1,0,3,2,2,2,3,2818,20,2,1,1
0,4,10,2,1,2,1,Rhode Island,1,3,1,1,1,2,1,1,0,3,2,2,2,3,2818,20,2,1,1
0,2,2,3,1,3,1,Rhode Island,1,3,1,1,1,2,1,1,0,3,2,2,2,3,2818,20,2,1,1
0,1,5,1,4,2,1,Rhode Island,1,3,1,1,1,2,1,1,0,3,2,2,2,3,2818,20,2,1,1
0,3,5,20,1,1,1,Rhode Island,1,3,1,1,1,2,1,1,0,3,2,2,2,3,2818,20,2,1,1
0,1,0,5,4,4,1,Rhode Island,1,3,1,1,1,2,1,1,0,3,2,2,2,3,2818,20,2,1,1
1,4,1,0,1,1,0,Rhode Island,1,3,1,1,4,1,1,2,0,6,2,1,1,1,2860,20,1,1,1
1,4,20,2,2,1,0,Rhode Island,1,3,1,1,4,1,1,2,0,6,2,1,1,1,2860,20,1,1,1
1,3,20,5,2,3,0,Rhode Island,1,3,1,1,4,1,1,2,0,6,2,1,1,1,2860,20,1,1,1
1,4,5,1,1,4,0,Rhode Island,1,3,1,1,4,1,1,2,0,6,2,1,1,1,2860,20,1,1,1
1,3,20,0,1,3,0,Rhode Island,1,3,1,1,4,1,1,2,0,6,2,1,1,1,2860,20,1,1,1
1,4,5,5,3,4,0,Rhode Island,1,3,1,1,4,1,1,2,0,6,2,1,1,1,2860,20,1,1,1
0,1,2,20,4,3,1,Rhode Island,1,4,1,4,4,2,5,2,0,4,2,2,1,1,2864,20,1,2,1
0,4,10,2,1,4,1,Rhode Island,1,4,1,4,4,2,5,2,0,4,2,2,1,1,2864,20,1,2,1
0,2,2,2,1,2,1,Rhode Island,1,4,1,4,4,2,5,2,0,4,2,2,1,1,2864,20,1,2,1
0,2,2,2,4,2,1,Rhode Island,1,4,1,4,4,2,5,2,0,4,2,2,1,1,2864,20,1,2,1
1,4,0,2,3,1,1,Rhode Island,1,4,1,4,4,2,5,2,0,4,2,2,1,1,2864,20,1,2,1
0,3,10,3,1,2,1,Rhode Island,1,4,1,4,4,2,5,2,0,4,2,2,1,1,2864,20,1,2,1
1,3,10,0,3,4,0,Rhode Island,1,2,1,2,2,1,1,2,0,3,2,4,3,2,2885,5,1,4,1
0,3,1,20,4,4,0,Rhode Island,1,2,1,2,2,1,1,2,0,3,2,4,3,2,2885,5,1,4,1
1,1,20,5,2,2,0,Rhode Island,1,2,1,2,2,1,1,2,0,3,2,4,3,2,2885,5,1,4,1
0,1,5,10,2,1,0,Rhode Island,1,2,1,2,2,1,1,2,0,3,2,4,3,2,2885,5,1,4,1
0,1,3,5,4,1,0,Rhode Island,1,2,1,2,2,1,1,2,0,3,2,4,3,2,2885,5,1,4,1
0,4,0,2,2,3,0,Rhode Island,1,2,1,2,2,1,1,2,0,3,2,4,3,2,2885,5,1,4,1
1,1,2,0,2,3,0,Rhode Island,1,3,1,2,4,1,1,1,0,3,2,1,3,3,2886,35,4,2,1
1,1,2,10,4,4,0,Rhode Island,1,3,1,2,4,1,1,1,0,3,2,1,3,3,2886,35,4,2,1
1,4,1,5,2,3,0,Rhode Island,1,3,1,2,4,1,1,1,0,3,2,1,3,3,2886,35,4,2,1
1,1,0,20,2,2,0,Rhode Island,1,3,1,2,4,1,1,1,0,3,2,1,3,3,2886,35,4,2,1
0,1,20,5,2,2,0,Rhode Island,1,3,1,2,4,1,1,1,0,3,2,1,3,3,2886,35,4,2,1
1,1,0,0,2,1,0,Rhode Island,1,3,1,2,4,1,1,1,0,3,2,1,3,3,2886,35,4,2,1
1,4,2,10,2,4,0,Rhode Island,1,3,1,2,3,1,1,2,0,1,2,2,2,1,2893,40,2,3,1
1,4,0,20,4,2,0,Rhode Island,1,3,1,2,3,1,1,2,0,1,2,2,2,1,2893,40,2,3,1
1,2,20,3,1,1,0,Rhode Island,1,3,1,2,3,1,1,2,0,1,2,2,2,1,2893,40,2,3,1
1,1,5,20,3,2,0,Rhode Island,1,3,1,2,3,1,1,2,0,1,2,2,2,1,2893,40,2,3,1
1,2,3,1,2,4,0,Rhode Island,1,3,1,2,3,1,1,2,0,1,2,2,2,1,2893,40,2,3,1
1,3,3,20,2,3,0,Rhode Island,1,3,1,2,3,1,1,2,0,1,2,2,2,1,2893,40,2,3,1
0,2,10,5,2,2,1,Rhode Island,1,3,1,2,1,2,3,1,0,3,2,2,1,2,2914,20,2,2,1
1,1,10,1,3,3,1,Rhode Island,1,3,1,2,1,2,3,1,0,3,2,2,1,2,2914,20,2,2,1
0,4,0,10,3,4,1,Rhode Island,1,3,1,2,1,2,3,1,0,3,2,2,1,2,2914,20,2,2,1
1,1,1,10,4,3,1,Rhode Island,1,3,1,2,1,2,3,1,0,3,2,2,1,2,2914,20,2,2,1
1,2,5,1,1,1,1,Rhode Island,1,3,1,2,1,2,3,1,0,3,2,2,1,2,2914,20,2,2,1
0,2,20,2,4,2,1,Rhode Island,1,3,1,2,1,2,3,1,0,3,2,2,1,2,2914,20,2,2,1
1,3,0,5,1,1,1,New Hampshire,1,2,1,1,3,2,2,2,0,3,2,2,1,3,3038,40,3,2,1
0,1,3,5,4,4,1,New Hampshire,1,2,1,1,3,2,2,2,0,3,2,2,1,3,3038,40,3,2,1
1,3,5,2,4,1,1,New Hampshire,1,2,1,1,3,2,2,2,0,3,2,2,1,3,3038,40,3,2,1
1,4,3,3,4,2,1,New Hampshire,1,2,1,1,3,2,2,2,0,3,2,2,1,3,3038,40,3,2,1
1,1,20,1,2,4,1,New Hampshire,1,2,1,1,3,2,2,2,0,3,2,2,1,3,3038,40,3,2,1
0,1,5,10,3,2,1,New Hampshire,1,2,1,1,3,2,2,2,0,3,2,2,1,3,3038,40,3,2,1
1,1,3,5,4,1,0,New Hampshire,1,3,1,2,3,2,2,2,0,6,2,1,2,3,3103,15,3,3,1
1,4,20,1,4,3,0,New Hampshire,1,3,1,2,3,2,2,2,0,6,2,1,2,3,3103,15,3,3,1
1,2,0,1,4,3,0,New Hampshire,1,3,1,2,3,2,2,2,0,6,2,1,2,3,3103,15,3,3,1
1,1,10,3,4,2,0,New Hampshire,1,3,1,2,3,2,2,2,0,6,2,1,2,3,3103,15,3,3,1
1,4,5,5,3,4,0,New Hampshire,1,3,1,2,3,2,2,2,0,6,2,1,2,3,3103,15,3,3,1
1,4,2,2,4,1,0,New Hampshire,1,3,1,2,3,2,2,2,0,6,2,1,2,3,3103,15,3,3,1
0,3,5,0,1,2,1,New Hampshire,1,1,1,1,3,1,1,2,0,6,2,2,2,2,3263,50,0,2,2
0,3,20,20,4,1,1,New Hampshire,1,1,1,1,3,1,1,2,0,6,2,2,2,2,3263,50,0,2,2
0,4,10,3,3,4,1,New Hampshire,1,1,1,1,3,1,1,2,0,6,2,2,2,2,3263,50,0,2,2
0,2,2,2,4,2,1,New Hampshire,1,1,1,1,3,1,1,2,0,6,2,2,2,2,3263,50,0,2,2
1,4,1,0,1,1,1,New Hampshire,1,1,1,1,3,1,1,2,0,6,2,2,2,2,3263,50,0,2,2
0,4,10,2,1,4,1,New Hampshire,1,1,1,1,3,1,1,2,0,6,2,2,2,2,3263,50,0,2,2
0,1,10,2,4,3,0,New Hampshire,1,3,1,1,3,1,1,1,0,3,2,2,2,1,3303,20,1,4,2
0,4,2,10,2,4,0,New Hampshire,1,3,1,1,3,1,1,1,0,3,2,2,2,1,3303,20,1,4,2
1,1,3,1,3,2,0,New Hampshire,1,3,1,1,3,1,1,1,0,3,2,2,2,1,3303,20,1,4,2
1,3,2,1,4,3,0,New Hampshire,1,3,1,1,3,1,1,1,0,3,2,2,2,1,3303,20,1,4,2
1,4,10,2,1,2,0,New Hampshire,1,3,1,1,3,1,1,1,0,3,2,2,2,1,3303,20,1,4,2
1,2,1,5,3,1,0,New Hampshire,1,3,1,1,3,1,1,1,0,3,2,2,2,1,3303,20,1,4,2
1,4,3,5,2,2,1,New Hampshire,1,3,1,4,4,1,1,2,0,6,2,2,1,1,3833,40,2,2,1
0,1,0,5,2,1,1,New Hampshire,1,3,1,4,4,1,1,2,0,6,2,2,1,1,3833,40,2,2,1
0,2,5,20,3,4,1,New Hampshire,1,3,1,4,4,1,1,2,0,6,2,2,1,1,3833,40,2,2,1
0,3,5,0,1,2,1,New Hampshire,1,3,1,4,4,1,1,2,0,6,2,2,1,1,3833,40,2,2,1
0,3,20,5,1,4,1,New Hampshire,1,3,1,4,4,1,1,2,0,6,2,2,1,1,3833,40,2,2,1
0,3,10,0,3,3,1,New Hampshire,1,3,1,4,4,1,1,2,0,6,2,2,1,1,3833,40,2,2,1
1,4,20,1,2,2,0,Maine,1,2,1,1,1,1,1,1,0,1,1,5,3,1,4101,20,0,3,1
1,1,10,2,4,3,0,Maine,1,2,1,1,1,1,1,1,0,1,1,5,3,1,4101,20,0,3,1
1,3,5,3,2,1,0,Maine,1,2,1,1,1,1,1,1,0,1,1,5,3,1,4101,20,0,3,1
1,3,3,0,3,1,0,Maine,1,2,1,1,1,1,1,1,0,1,1,5,3,1,4101,20,0,3,1
1,2,5,0,2,4,0,Maine,1,2,1,1,1,1,1,1,0,1,1,5,3,1,4101,20,0,3,1
1,1,3,0,1,4,0,Maine,1,2,1,1,1,1,1,1,0,1,1,5,3,1,4101,20,0,3,1
1,3,2,1,3,1,0,Maine,1,3,1,1,2,1,1,1,0,1,2,1,2,2,4462,25,1,1,3
1,3,3,2,2,3,0,Maine,1,3,1,1,2,1,1,1,0,1,2,1,2,2,4462,25,1,1,3
1,3,1,2,1,4,0,Maine,1,3,1,1,2,1,1,1,0,1,2,1,2,2,4462,25,1,1,3
1,4,1,1,3,4,0,Maine,1,3,1,1,2,1,1,1,0,1,2,1,2,2,4462,25,1,1,3
1,4,5,0,1,1,0,Maine,1,3,1,1,2,1,1,1,0,1,2,1,2,2,4462,25,1,1,3
1,4,1,5,1,2,0,Maine,1,3,1,1,2,1,1,1,0,1,2,1,2,2,4462,25,1,1,3
1,3,10,20,2,2,0,Maine,1,3,1,2,2,1,1,3,0,6,2,2,2,1,4539,15,1,1,4
0,3,20,5,1,4,0,Maine,1,3,1,2,2,1,1,3,0,6,2,2,2,1,4539,15,1,1,4
1,1,20,3,1,3,0,Maine,1,3,1,2,2,1,1,3,0,6,2,2,2,1,4539,15,1,1,4
0,1,3,5,4,1,0,Maine,1,3,1,2,2,1,1,3,0,6,2,2,2,1,4539,15,1,1,4
1,2,3,20,3,3,0,Maine,1,3,1,2,2,1,1,3,0,6,2,2,2,1,4539,15,1,1,4
1,2,1,2,2,1,0,Maine,1,3,1,2,2,1,1,3,0,6,2,2,2,1,4539,15,1,1,4
1,2,3,10,3,3,0,Maine,1,1,1,1,5,1,1,1,0,2,3,2,3,1,4769,10,1,1,3
1,2,0,2,3,3,0,Maine,1,1,1,1,5,1,1,1,0,2,3,2,3,1,4769,10,1,1,3
1,2,20,3,1,1,0,Maine,1,1,1,1,5,1,1,1,0,2,3,2,3,1,4769,10,1,1,3
0,1,1,1,1,2,0,Maine,1,1,1,1,5,1,1,1,0,2,3,2,3,1,4769,10,1,1,3
0,1,3,5,4,4,0,Maine,1,1,1,1,5,1,1,1,0,2,3,2,3,1,4769,10,1,1,3
0,2,2,5,4,1,0,Maine,1,1,1,1,5,1,1,1,0,2,3,2,3,1,4769,10,1,1,3
1,2,20,10,1,2,1,Vermont,1,3,1,1,2,1,2,1,0,6,1,5,1,1,5403,20,2,2,1
1,4,2,2,1,3,1,Vermont,1,3,1,1,2,1,2,1,0,6,1,5,1,1,5403,20,2,2,1
1,2,20,0,1,4,1,Vermont,1,3,1,1,2,1,2,1,0,6,1,5,1,1,5403,20,2,2,1
1,3,2,10,3,4,1,Vermont,1,3,1,1,2,1,2,1,0,6,1,5,1,1,5403,20,2,2,1
